song_id;language;field;value
14234482;JA;name;"弦楽セレナード ハ長調 作品48 第1楽章: Pezzo in forma di sonatina; Andante non troppo - Allegro moderato"
14234488;JA;name;弦楽セレナード ハ長調 作品48 第2楽章: Valse. Moderato. Tempo di Valse
14234493;JA;name;弦楽セレナード ハ長調 作品48 第3楽章: Elegia. Larghetto elegiaco
14234498;JA;name;弦楽セレナード ハ長調 作品48 第4楽章: Finale. Tema russo. Andante - Allegro con spirito
14234503;JA;name;弦楽セレナード ホ長調 作品22 第1楽章: Moderato
14234509;JA;name;弦楽セレナード ホ長調 作品22 第2楽章: Menuetto. Allegro con moto - Trio
14234514;JA;name;弦楽セレナード ホ長調 作品22 第3楽章: Scherzo. Vivace
14234519;JA;name;弦楽セレナード ホ長調 作品22 第4楽章: Larghetto
14234524;JA;name;弦楽セレナード ホ長調 作品22 第5楽章: Finale. Allegro vivace
14234641;JA;name;弦楽とオルガンのためのアダージョ ト短調 弦楽とオルガンのためのアダージョ ト短調
14234655;JA;name;カノンとジーグ ニ長調 カノンとジーグ ニ長調
14234663;JA;name;セレナード 第6番 ニ長調 K.239《セレナータ・ノットゥルナ》 第1楽章: Marcia. Maestoso
14234692;JA;name;セレナード 第6番 ニ長調 K.239《セレナータ・ノットゥルナ》 第3楽章: Rondeau. Allegretto - Adagio - Allegro
14234701;JA;name;管弦楽組曲 第3番 ニ長調 BWV1068から G線上のアリア
14234708;JA;name;フルート協奏曲 ト短調 作品10の2(RV439)《夜》 1. Largo - 2. Fantasmi. Presto
14234717;JA;name;フルート協奏曲 ト短調 作品10の2(RV439)《夜》 3. Largo - 4. Presto
14234723;JA;name;フルート協奏曲 ト短調 作品10の2(RV439)《夜》 5. Il sonno. Largo - 6. Allegro
14234729;JA;name;歌劇《オルフェオとエウリディーチェ》 精霊の踊り
14236668;JA;name;悲しきワルツ 作品44の1 悲しきワルツ 作品44の1
14236673;JA;name;《ペール・ギュント》第2組曲 作品55 第4曲: ソルヴェイグの歌
14236679;JA;name;交響詩《フィンランディア》 作品26 交響詩《フィンランディア》 作品26
14236684;JA;name;トゥオネラの白鳥 作品22の2 トゥオネラの白鳥 作品22の2
14236692;JA;name;《ペール・ギュント》第2組曲 作品55 第1曲: 花嫁の嘆き: イングリッドの嘆き
